deposit_address,confidence,deposit_address_validator_count,withdrawal_addresses,avg_activation_epoch,related_withdrawal_address_validator_count
0x5f647fed5eaad73e5e2118c7789fb290f7c7cfe9,0.9997924,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x7aadd3816216358a86aaca56728ca82abe9378af,0.9997715,1,[0x7aadd3816216358a86aaca56728ca82abe9378af],7297,1
0xdb5117dd6769e1a3442dd19f6bf89e2b8c2e011b,0.9997706,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xf924f84924421031c236c6f83727cae0c8ad13f2,0.9997653,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x55ccb6ec92959052b9f1bf35b2cef438cf626aa5,0.99975806,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x05f7a45e049c96769360fafef7ccfc130dc22ab6,0.9997568,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xdd78fcf0c0814218f9e8863142b904d7a04b7ae5,0.9997498,1,[0xdd78fcf0c0814218f9e8863142b904d7a04b7ae5],78184,1
0x9fc9be8f24b23f5d12a53061ed5b96030cbb375c,0.9997352,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x6fcc04913c0cd3eca196723a780bdb4b9aa14194,0.9997344,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x50fba4307f9e10297bcda2c4380539814f965ce1,0.99973285,1,[0x50fba4307f9e10297bcda2c4380539814f965ce1],77992,1
0x257601e63cc667ba6ad3561eb197f0edad4f96f7,0.9997283,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x543f151ab01be12b2bd97a1830f5431845dcaa37,0.99970794,6,[0x3e5522846f6f8be913ea389369f63d67dfb79a11],26883,8
0x77a99e9ab2d9ab154bf88c9968465ef779282a31,0.99969983,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x832dc6c1a1e94a10dd808672f16e542978b9b1cf,0.99968666,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x83a3ea89eddf4c8b4906b2495b295601cb6f73de,0.99968636,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x325d9df6887bd229f0c76bc0dc802f89ee499ba8,0.99968475,2,[],11434,
0x9146ec4e7ad91e4fb5ad4945d9b8179367d7af38,0.9996808,2,[],2511,
0x9cd76e55c7d0389f10ebaa6401de0416b08dba6e,0.9996795,4,[],44877,
0x2b6badc3400b5d36fddc4ee0c8e6decc95242e7e,0.9996684,1,[],0,
0xacc1fd2d9a69eac3b248f85bd240854b2601a282,0.9996683,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x9ffd3283c534ce502affb795f4bef209b4018e0d,0.999667,1,[0x9ffd3283c534ce502affb795f4bef209b4018e0d],145897,1
0x38a2615188b5cae2d3de2f7065ca6c225d321186,0.99966156,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x37ea53fa97a03f1f0a9c46fe653a04a9c658e282,0.9996588,1,[0x6336b39487d080e4724611d6ac9e2378bebb7c43],0,1
0x834b5ab84c0b58d360c74ee38e2df96c1f8b78f9,0.99965495,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x0cbee0cddc774f0549e5e8e36ac29639e9691b2e,0.9996452,1,[0x36b22c9be2d73cf1285c9205b3eeff13fa34565a],121709,1
