deposit_address,deposit_address_validator_count,withdrawal_addresses,related_withdrawal_address_validator_count
0xb506aebf3e9edf99da2008ec28e2b4bc92cfc21c,79,[0xb506aebf3e9edf99da2008ec28e2b4bc92cfc21c],79
0xdf03fee849ec08afefc65705f747f04d8303584e,79,[0xc0ccfacc2f09ee3239ac5648c0928adb8601b6c1],79
0x4501205a75f3e6a99f1320b802fda91fb5499b11,79,"[0xbc42ff4e9b83294f03792952a1083222f595ec53,0x4bded2846e50bbcd49bf31ac066ff5cf94902316]",79
0xaf5e2596607097a73e3166453b629a7b0e19565e,77,"[0xb8b9eb90834dd1e065e750212863a0fdfe8dd76b,0xa3df45f3c0ad1083f645c9a74d0844273a7fa5bf]",78
0x1195f3d981095a5d95501d3b1984bc4ff129b8eb,77,[0x1195f3d981095a5d95501d3b1984bc4ff129b8eb],77
0x3fb958990990c4bb2995b2b177feb06bbc0302e4,77,[0x3fb958990990c4bb2995b2b177feb06bbc0302e4],77
0x4346f0c7a31f26a151747e356f00401f21a786ad,75,[0xbb3e81591ceae185733cf603c691f43efdf937c2],76
0x0a9f79268b28ce2400bb5195d1938424ec46f3fe,74,[0xc83251987b19427abb7b072b606adde167700527],75
0xbad2fdaed0fb2b295457f392d7ec3707b322697e,73,[0x637f383c240d514be19d3ffa3b45b7f03babf091],73
0xde4376a76a071d1dd4a3669094e17ff28c17ee5e,73,[0xde4376a76a071d1dd4a3669094e17ff28c17ee5e],73
0x05d656216721fdb7105fdbfe883903d10e0f31bd,73,[],
